Age,n_years_Experience,n_Social_Media,Time_on_Social_Personal,Time_on_Social_Professional,Social_Most_Value_2,total_optimistic_score,total_pessimistic_score,Good_for_pub_aware_score,Strengthen_Dr_relationship_Score,Increase_patient_edu_score,Increase_collab_score,Deliver_healthcare_score
33.0,2.0,9.0,25.0,40.0,Other,75.33333333333333,67.0,84,71,89,86,69
36.0,10.0,2.0,20.0,120.0,Instagram,92.77777777777777,60.833333333333336,100,100,100,100,100
47.0,21.0,10.0,10.0,20.0,Other,56.22222222222222,83.83333333333333,67,21,62,65,63
49.0,10.0,10.0,10.0,10.0,Facebook,59.333333333333336,79.16666666666667,73,63,66,59,50
55.0,22.0,10.0,30.0,10.0,Facebook,73.0,68.16666666666667,78,50,82,81,75
44.0,14.0,15.0,10.0,5.0,Facebook,62.44444444444444,62.166666666666664,50,50,50,95,50
38.0,5.0,14.0,30.0,30.0,Instagram,88.77777777777777,91.0,90,87,88,90,91
32.0,4.0,1.0,60.0,2.0,Instagram,57.666666666666664,81.0,64,57,59,59,50
31.0,0.0,13.0,60.0,15.0,Instagram,68.11111111111111,78.66666666666667,74,69,52,83,100
36.0,3.0,12.0,0.0,0.0,Facebook,52.333333333333336,59.833333333333336,65,50,59,72,50
31.0,1.0,13.0,15.0,0.0,Facebook,57.666666666666664,88.16666666666667,73,38,59,60,56
31.0,3.0,10.0,60.0,0.0,Other,43.111111111111114,95.33333333333333,55,48,60,36,12
29.0,0.0,14.0,60.0,0.0,Instagram,74.22222222222223,70.0,70,63,78,99,71
30.0,3.0,12.0,30.0,5.0,Instagram,53.22222222222222,61.666666666666664,52,52,57,53,52
32.0,6.0,15.0,60.0,0.0,Instagram,61.888888888888886,91.83333333333333,68,31,61,77,71
29.0,1.0,12.0,30.0,5.0,Other,72.44444444444444,76.5,91,50,91,50,90
31.0,6.0,14.0,60.0,10.0,Instagram,32.55555555555556,96.33333333333333,0,20,79,32,29
36.0,2.0,12.0,30.0,30.0,Instagram,47.111111111111114,69.83333333333333,50,41,50,52,31
48.0,18.0,10.0,20.0,5.0,Instagram,61.0,89.16666666666667,50,50,64,100,58
40.0,11.0,15.0,20.0,1.0,Facebook,68.22222222222223,66.5,68,52,92,79,95
45.0,15.0,8.0,60.0,30.0,Instagram,60.111111111111114,87.33333333333333,68,27,74,80,57
50.0,18.0,12.0,60.0,30.0,Facebook,68.55555555555556,87.33333333333333,74,37,66,100,76
55.0,24.0,1.5,15.0,30.0,Facebook,72.77777777777777,65.33333333333333,77,55,74,99,70
40.0,10.0,10.0,15.0,15.0,Other,76.88888888888889,61.0,77,79,74,84,64
44.0,18.0,5.0,15.0,1.0,Facebook,14.0,83.0,10,13,18,12,50
28.0,2.0,9.0,45.0,20.0,Instagram,82.66666666666667,55.666666666666664,50,100,100,100,94
35.0,5.0,4.0,10.0,30.0,Instagram,63.44444444444444,88.83333333333333,71,55,77,78,50
30.0,3.0,12.0,10.0,30.0,Instagram,63.0,63.333333333333336,74,71,89,69,40
27.0,2.0,10.0,45.0,0.0,Instagram,49.55555555555556,88.33333333333333,71,0,28,76,50
29.0,1.0,13.0,45.0,5.0,Instagram,58.333333333333336,67.5,54,50,53,100,50
34.0,7.0,15.0,30.0,90.0,Instagram,78.44444444444444,75.16666666666667,100,86,75,100,71
29.0,2.0,11.0,45.0,0.0,Instagram,55.666666666666664,84.16666666666667,65,59,65,54,33
17.0,1.0,8.0,2.0,0.0,Instagram,60.333333333333336,78.83333333333333,66,35,66,66,32
32.0,3.0,14.0,60.0,5.0,Facebook,80.11111111111111,69.5,71,50,100,100,100
32.0,1.0,14.0,45.0,15.0,Instagram,89.66666666666667,48.333333333333336,94,93,97,86,88
28.0,2.0,10.0,60.0,60.0,Facebook,59.22222222222222,76.66666666666667,78,34,64,78,50
29.0,3.0,10.0,60.0,0.0,Instagram,41.888888888888886,72.83333333333333,28,26,50,58,50
28.0,2.0,14.0,60.0,0.0,Instagram,63.0,61.833333333333336,62,65,77,94,56
35.0,8.0,15.0,60.0,20.0,Facebook,82.77777777777777,96.16666666666667,100,73,100,100,77
31.0,4.0,12.0,60.0,0.0,Instagram,71.44444444444444,74.66666666666667,72,70,69,71,75
32.0,4.0,12.0,45.0,10.0,Facebook,91.44444444444444,71.66666666666667,78,98,100,100,98
34.0,7.0,15.0,30.0,15.0,Facebook,75.88888888888889,99.0,100,25,94,100,71
31.0,5.0,5.0,60.0,120.0,Instagram,62.333333333333336,75.0,67,65,68,71,50
33.0,2.0,15.0,30.0,5.0,Instagram,94.88888888888889,94.33333333333333,93,96,95,93,92
27.0,1.0,12.0,2.0,5.0,Instagram,68.44444444444444,76.16666666666667,75,70,82,100,56
28.0,2.0,15.0,2.0,0.0,Instagram,63.0,61.833333333333336,80,50,74,62,69
35.0,2.0,12.0,30.0,60.0,Instagram,74.88888888888889,75.66666666666667,78,50,71,100,72
36.0,2.0,12.0,10.0,20.0,Facebook,79.88888888888889,91.0,100,0,100,50,96
34.0,2.0,11.0,60.0,30.0,Other,57.666666666666664,78.5,50,50,67,50,77
32.0,1.0,0.0,10.0,0.0,,64.88888888888889,91.83333333333333,50,75,72,66,71
29.0,3.0,7.0,60.0,20.0,Other,56.77777777777778,93.5,76,19,13,100,100
32.0,3.0,15.0,60.0,120.0,Instagram,79.77777777777777,79.0,100,66,100,83,85
35.0,2.0,17.0,60.0,30.0,Instagram,72.77777777777777,58.666666666666664,84,45,50,87,95
42.0,10.0,0.0,20.0,5.0,,63.44444444444444,72.33333333333333,69,50,50,86,50
32.0,6.0,10.0,30.0,30.0,Instagram,75.55555555555556,83.33333333333333,71,73,84,90,75
41.0,10.0,5.0,0.0,30.0,Instagram,32.44444444444444,98.5,28,10,69,71,8
28.0,1.0,11.0,30.0,0.0,Instagram,72.22222222222223,91.83333333333333,100,50,100,50,100
29.0,2.0,12.0,30.0,0.0,Instagram,83.44444444444444,41.333333333333336,100,85,100,100,93
54.0,22.0,10.0,2.0,30.0,Instagram,67.44444444444444,81.0,94,72,85,83,67
33.0,6.0,12.0,60.0,30.0,Facebook,45.44444444444444,67.83333333333333,30,27,27,100,25
32.0,5.0,14.0,30.0,15.0,Facebook,72.66666666666667,55.166666666666664,93,50,69,98,80
33.0,1.0,10.0,20.0,60.0,Facebook,87.77777777777777,54.0,100,100,100,100,90
45.0,15.0,3.0,5.0,0.0,Instagram,62.333333333333336,99.66666666666667,74,0,51,100,50
31.0,1.0,13.0,30.0,60.0,Instagram,53.111111111111114,85.83333333333333,64,20,56,74,50
31.0,4.0,13.0,20.0,35.0,Facebook,70.33333333333333,64.33333333333333,98,50,50,95,95
45.0,6.0,15.0,60.0,30.0,Instagram,24.0,76.83333333333333,0,28,19,23,19
33.0,3.0,12.0,45.0,0.0,Instagram,56.55555555555556,93.83333333333333,69,32,50,79,50
28.0,2.0,10.0,10.0,10.0,Other,47.666666666666664,73.33333333333333,31,31,64,67,50
30.0,4.0,12.0,60.0,0.0,Instagram,62.888888888888886,67.16666666666667,70,50,71,69,50
42.0,13.0,10.0,30.0,0.0,Facebook,74.33333333333333,78.16666666666667,71,56,60,100,65
32.0,4.0,11.0,60.0,20.0,Facebook,91.22222222222223,45.5,100,76,100,100,93
31.0,3.0,13.0,30.0,5.0,Facebook,88.11111111111111,90.0,86,50,100,84,92
45.0,15.0,5.0,5.0,5.0,Facebook,61.22222222222222,96.0,50,22,73,72,70
32.0,2.0,11.0,60.0,25.0,Instagram,51.22222222222222,91.83333333333333,100,6,100,50,50
34.0,6.0,10.0,45.0,0.0,Facebook,63.666666666666664,82.66666666666667,72,50,74,97,17
31.0,6.0,10.0,,30.0,Instagram,46.333333333333336,75.83333333333333,56,50,31,76,12
30.0,1.0,14.0,30.0,15.0,Instagram,68.77777777777777,85.83333333333333,78,50,76,80,68
45.0,14.0,10.0,0.0,0.0,Instagram,54.888888888888886,47.833333333333336,58,49,49,50,49
37.0,6.0,15.0,20.0,10.0,Other,60.55555555555556,67.0,61,22,50,91,91
60.0,35.0,7.0,30.0,5.0,Facebook,52.333333333333336,94.83333333333333,47,39,59,58,60
31.0,6.0,14.0,60.0,0.0,Facebook,27.555555555555557,86.83333333333333,50,50,8,16,6
37.0,2.0,10.0,2.0,30.0,Facebook,90.33333333333333,38.833333333333336,87,50,96,100,96
37.0,7.0,11.0,60.0,10.0,Instagram,82.55555555555556,95.83333333333333,94,56,97,100,100
